newpoint	0	1	0	0	11137.0	28826.0	298.0	11321	28824
newpoint	1	1	0	0	8645.0	21977.0	672.0	8581	21772
newpoint	2	1	1	0	10554.0	16113.0	298.0	10546	15908
newpoint	3	1	0	0	7212.0	18525.0	448.0	7239	18595
newpoint	4	1	1	0	9300.0	8163.0	298.0	9240	8243
point	4	2	1	1	9121.927847735156	8401.94328189498	298.0	9006	8558
point	3	2	0	1	7422.731011491966	18915.022189297135	447.99999999999994	7429	18924
point	2	2	1	1	10555.51835545479	15815.645814179765	298.0	10565	15736
point	1	2	0	1	8458.500629181055	21331.844953135304	672.0	8455	21316
point	0	2	0	1	11165.486422681346	28619.329832149586	672.0	11147	28595
newpoint	5	1	0	1	9160.0	19165.0	298.0	9213	19176
newpoint	6	1	0	1	16298.0	13600.0	298.00000000000006	16376	13632
newpoint	7	1	0	1	6787.0	12422.0	298.0	7026	12522
newpoint	8	1	2	1	11288.0	16071.0	198.0	11306	16146
newpoint	9	1	0	1	10025.0	19851.0	298.0	9972	19580
point	9	2	0	2	10020.660687656797	19572.03342724203	672.0	10198	19543
point	8	2	2	2	11455.150227424014	16107.724274069655	252.25	11657	16054
point	7	2	0	2	7064.922791430817	12522.0	298.0	7098	12522
point	6	2	0	2	16196.131411824286	14070.380288226357	672.0	15972	14104
point	5	2	0	2	9406.108558151303	19324.935952744225	298.0	9707	19557
point	4	3	1	2	8944.547028632007	8641.400461142277	298.0	8894	8710
point	3	3	0	2	7674.45831617	19285.610593951857	448.0	7744	19389
point	2	3	1	2	10718.66562854042	15748.279244613073	298.0	10720	15749
point	1	3	0	2	8433.551362885073	20664.924265214002	672.0	8471	20473
point	0	3	0	2	10770.415180520566	28075.842497201225	672.0	10746	28041
newpoint	10	1	0	2	14074.0	22120.0	298.0	13926	22058
newpoint	11	1	0	2	292.0	23757.0	672.0	413	22839
newpoint	12	1	0	2	15589.0	12450.0	298.00000000000006	15492	12165
newpoint	13	1	0	2	20678.0	19761.0	132.0	20571	19810
newpoint	14	1	3	2	14503.0	27374.0	126.12499999999999	14249	27504
point	14	2	3	3	14390.725788136002	27431.46317930047	126.12499999999999	14249	27504
point	13	2	0	3	20556.749828254095	19811.350016270666	132.0	20476	19819
point	12	2	0	3	15492.984261933576	12167.89190361927	298.00000000000006	15492	12165
point	11	2	0	3	379.8156192413607	23090.762492036618	672.0	413	22839
point	10	2	0	3	13802.299903053914	21997.8748532772	298.0	13675	21936
point	9	3	0	3	10374.144731221211	19338.589321588675	447.99999999999994	10381	19245
point	8	3	2	3	11676.608662117163	16092.687360393322	252.25	11694	16127
point	7	3	0	3	7195.685025946137	12692.119570046692	448.0	7181	12769
